,Symbol,name_a,price,changesPercentage,change_a,yearHigh,yearLow,priceAvg50,priceAvg200,Name,Change,%_Change,50_Day_Avg,200_Day_Avg,fund_extended_name,fund_family,net_assets,ytd_return,fund_yield,morningstar_rating,inception_date,investment,f_size,net_annual_expense_ratio_fund,price_earnings,price_book,morningstar_return_rating,fund_return_1month,fund_return_3months,fund_return_1year,fund_return_3years,fund_return_5years,fund_return_10years,fund_return_2018,portfolio_cash,portfolio_stocks,portfolio_bonds,portfolio_others,portfolio_preferred,portfolio_convertable,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,morningstar_risk_rating,fund_alpha_3years,fund_beta_3years,fund_r_squared_3years,fund_standard_deviation_3years,fund_sharpe_ratio_3years,fund_treynor_ratio_3years
10,KMDVX,Keeley Mid Cap Dividend Value Fund Class A,18.94,-1.15,-0.22,24.15,12.8,17.239117,20.556324,Keeley Mid Cap Dividend Value Fund Class A,-0.22,-1.15,17.24,20.56,Keeley Mid Cap Dividend Value Fund Class A,Keeley,165.23,13.67,1.12,4,2011-10-02,Value,Medium,1.21,13.79,1.84,4.0,-0.63,13.67,3.15,11.06,8.11,0.0,-12.86,3.13,96.87,0.0,0.0,0.0,0.0,10.29,12.92,20.39,12.24,3.44,6.38,9.25,0.0,7.17,12.71,5.19,3.0,-3.03,1.1,76.38,13.44,0.75,8.92
11,JUEZX,JPMorgan U.S. Equity Fund Class R2,15.66,-0.19,-0.03,17.04,11.34,14.798235,15.339927,JPMorgan U.S. Equity Fund Class R2,-0.03,-0.19,14.8,15.34,JPMorgan U.S. Equity Fund Class R2,JPMorgan,13990.0,13.39,0.52,3,2008-11-02,Growth,Large,1.19,16.72,2.81,3.0,1.27,13.39,7.27,12.51,9.5,15.04,-6.6,0.98,99.02,0.0,0.0,0.0,0.0,1.77,14.15,15.01,1.91,4.95,15.89,3.11,4.65,5.69,11.78,21.1,4.0,-2.07,1.11,97.15,12.09,0.93,10.1
12,FPSVX,Frontier Phocas Small Cap Value Fund Institutional Class,24.96,-2.69,-0.69,33.15,17.9,22.505295,27.802353000000004,Frontier Phocas Small Cap Value Fund Institutional Class,-0.69,-2.69,22.51,27.8,Frontier Phocas Small Cap Value Fund Institutional Class,Frontier Funds,27.35,13.94,0.49,2,2006-09-28,Blend,Small,0.95,12.88,1.42,3.0,-1.66,13.94,-5.02,7.69,4.8,14.34,-17.52,3.77,96.23,0.0,0.0,0.0,0.0,7.05,10.92,27.31,11.47,1.27,5.64,5.85,0.0,5.6,14.43,10.45,3.0,-7.6,1.25,67.28,16.38,0.45,5.11
13,FSCAX,Nuveen Small Cap Value Fund Class A,16.18,-3.11,-0.52,23.0,11.83,14.806470999999998,18.945736,Nuveen Small Cap Value Fund Class A,-0.52,-3.11,14.81,18.95,Nuveen Small Cap Value Fund Class A,Nuveen,2010.0,12.81,0.58,3,1994-07-31,Value,Small,1.2,12.81,1.35,3.0,-2.81,12.81,-7.79,6.93,5.36,14.52,-20.81,1.05,98.77,0.0,0.18,0.0,0.0,4.67,10.28,27.58,12.56,2.52,2.53,6.88,1.09,6.42,15.32,10.15,3.0,-8.5,1.28,64.58,17.03,0.4,4.42
14,FIOIX,Fidelity Advisor Managed Retirement 2005 Fund Class I,59.11,0.03,0.02,60.19,54.7,58.28794,58.83772,Fidelity Advisor Managed Retirement 2005 Fund Class I,0.02,0.03,58.29,58.84,Fidelity Advisor Managed Retirement 2005 Fund Class I,Fidelity Investments,5.54,4.54,1.95,4,2007-08-29,Blend,Large,0.48,14.12,1.76,3.0,1.45,4.54,3.0,5.59,4.22,8.71,-1.99,18.63,17.99,62.91,0.04,0.22,0.19,4.86,12.19,22.41,2.66,6.48,11.08,1.99,2.17,6.78,10.25,19.11,2.0,1.01,0.48,84.18,3.17,1.31,8.92
15,APGAX,AB Large Cap Growth Fund Class A,61.7,0.34,0.21,61.49,44.27,57.403824,56.492644999999996,AB Large Cap Growth Fund Class A,0.21,0.34,57.4,56.49,AB Large Cap Growth Fund Class A,AllianceBernstein,8440.0,15.88,0.0,4,1992-09-27,Growth,Large,0.91,24.03,7.3,4.0,2.36,15.88,15.76,17.34,15.12,17.86,1.93,10.24,89.76,0.0,0.0,0.0,0.0,2.41,15.67,9.63,0.0,10.29,23.61,0.0,0.0,0.0,6.61,31.78,3.0,3.67,0.98,85.36,11.4,1.35,16.38
16,TMDIX,AMG TimesSquare Mid Cap Growth Fund Class Z,18.38,0.38,0.07,21.18,12.79,16.865294,17.998604,AMG TimesSquare Mid Cap Growth Fund Class Z,0.07,0.38,16.87,18.0,AMG TimesSquare Mid Cap Growth Fund Class Z,AMG Funds,1950.0,16.67,0.0,3,2005-03-03,Growth,Medium,0.98,20.24,3.25,3.0,0.39,16.67,8.67,13.73,8.99,15.49,-4.39,3.16,96.84,0.0,0.0,0.0,0.0,3.04,12.33,11.98,4.14,2.52,14.6,0.0,3.49,1.31,26.11,20.47,2.0,-0.46,1.06,90.9,12.0,1.03,11.67
17,QMORX,AQR Large Cap Momentum Style Fund Class R6,21.05,0.38,0.08,23.8,15.71,19.799118,20.994486,AQR Large Cap Momentum Style Fund Class R6,0.08,0.38,19.8,20.99,AQR Large Cap Momentum Style Fund Class R6,AQR Funds,919.26,14.61,1.08,2,2014-07-09,Growth,Large,0.3,18.65,4.4,2.0,1.98,14.61,7.74,13.12,9.81,0.0,-3.77,0.17,96.62,0.0,3.21,0.0,0.0,1.08,15.74,13.94,1.73,4.58,17.9,1.89,2.15,3.53,10.82,26.65,2.0,-0.72,1.04,89.23,11.85,1.0,11.35
18,GSXIX,Aberdeen U.S. Small Cap Equity Fund Institutional Service Class,33.35,-1.8,-0.61,37.01,23.28,29.635883000000003,32.31544,Aberdeen U.S. Small Cap Equity Fund Institutional Service Class,-0.61,-1.8,29.64,32.32,Aberdeen U.S. Small Cap Equity Fund Institutional Service Class,Aberdeen,1220.0,14.91,0.05,3,1998-11-01,Growth,Small,1.08,19.44,2.3,3.0,-1.71,14.91,4.9,9.74,9.81,17.07,-13.13,1.9,98.1,0.0,0.0,0.0,0.0,14.53,17.36,14.02,4.09,5.69,8.95,0.0,0.0,1.17,14.47,19.72,2.0,-5.2,1.2,69.31,15.47,0.6,7.04
19,ACTEX,American Century Zero Coupon 2020 Fund Advisor Class,102.63,0.0,0.0,102.67,100.42,102.64147,102.10309000000001,American Century Zero Coupon 2020 Fund Advisor Class,0.0,0.0,102.64,102.1,American Century Zero Coupon 2020 Fund Advisor Class,American Century Investments,142.3,0.72,4.05,4,1998-10-18,Value,Large,0.8,0.0,0.0,4.0,0.44,0.72,1.64,0.12,1.65,3.27,0.31,0.57,0.0,99.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.54,0.51,67.9,1.83,-0.63,-2.32
20,TGGAX,Touchstone International Growth Opportunities Fund Class A,21.05,0.62,0.13,23.49,16.06,19.824704999999998,21.024706,Touchstone International Growth Opportunities Fund Class A,0.13,0.62,19.82,21.02,Touchstone International Growth Opportunities Fund Class A,Touchstone,34.58,19.4,0.0,5,2016-08-14,Growth,Large,1.24,22.73,3.78,5.0,3.21,19.4,-6.38,11.99,8.71,0.0,-19.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,12.72,9.44,0.0,18.5,3.12,0.0,0.0,0.0,12.88,43.34,5.0,2.69,1.21,71.4,15.12,0.74,8.86
21,DCGTX,Jackson Square SMID-Cap Growth Fund IS Class,26.09,-0.34,-0.09,26.18,16.64,22.874706,23.254559,Jackson Square SMID-Cap Growth Fund IS Class,-0.09,-0.34,22.87,23.25,Jackson Square SMID-Cap Growth Fund IS Class,Jackson Square,826.88,24.11,0.23,5,2003-11-30,Growth,Medium,0.87,25.63,2.73,5.0,1.65,24.11,16.39,17.66,13.69,21.65,1.96,0.76,99.24,0.0,0.0,0.0,0.0,0.0,24.94,7.37,10.29,0.0,12.15,0.0,2.2,0.0,5.68,37.37,3.0,2.08,1.17,73.97,14.63,1.1,14
22,CFAIX,Calvert Conservative Allocation Fund Class I,17.3,0.06,0.010001000000000001,18.18,14.95,16.790882,17.283823,Calvert Conservative Allocation Fund Class I,0.01,0.06,16.79,17.28,Calvert Conservative Allocation Fund Class I,Calvert Research and Management,198.03,7.05,2.6,4,2016-05-19,Blend,Large,0.71,15.43,2.38,4.0,1.37,7.05,4.52,6.12,4.83,7.8,-2.54,2.06,35.48,62.16,0.19,0.01,0.09,2.9,14.8,20.21,1.88,7.44,12.75,2.38,2.97,0.63,13.68,20.36,2.0,0.3,0.67,95.17,4.2,1.13,7.21
23,JTSCX,JPMorgan SmartRetirement 2050 Fund Class C,18.44,-0.16,-0.030001,22.11,14.18,17.47206,19.266691,JPMorgan SmartRetirement 2050 Fund Class C,-0.03,-0.16,17.47,19.27,JPMorgan SmartRetirement 2050 Fund Class C,JPMorgan,3910.0,11.39,1.63,2,2007-07-30,Blend,Large,1.46,15.1,2.01,2.0,1.25,11.39,0.71,8.71,5.64,11.86,-10.56,4.26,83.64,11.92,0.08,0.0,0.1,4.47,12.87,18.82,8.63,6.88,11.15,2.85,2.42,5.27,10.27,16.37,3.0,-2.46,1.5,97.52,9.28,0.81,4.96
24,NRICX,Nuveen Real Asset Income Fund Class C,20.15,0.5,0.1,25.38,15.83,19.379704999999998,22.38728,Nuveen Real Asset Income Fund Class C,0.1,0.5,19.38,22.39,Nuveen Real Asset Income Fund Class C,Nuveen,1890.0,10.67,4.33,4,2011-09-12,Value,Medium,1.9,17.0,1.54,4.0,2.24,10.67,6.13,6.03,5.27,0.0,-7.09,0.03,46.12,28.97,3.45,17.45,3.97,0.0,0.0,0.0,56.01,0.0,0.29,27.03,1.02,6.47,6.85,2.34,3.0,-0.89,0.85,63.52,6.57,0.73,5.56
25,DHFCX,Diamond Hill Long Short Fund Class C,19.78,-1.05,-0.21,24.39,15.91,18.74853,21.073529999999998,Diamond Hill Long Short Fund Class C,-0.21,-1.05,18.75,21.07,Diamond Hill Long Short Fund Class C,Diamond Hill Funds,3790.0,8.62,0.0,3,2001-02-12,Value,Large,2.49,12.71,1.53,3.0,-0.18,8.62,2.28,4.62,3.26,7.38,-7.96,29.93,68.26,1.8,0.0,0.0,0.0,3.95,8.11,27.95,0.0,2.86,10.13,0.0,3.17,4.53,20.88,18.4,3.0,-5.06,0.72,78.12,8.75,0.41,4.61
26,ZSCIX,Zacks Small-Cap Core Fund Institutional Class,20.59,-2.28,-0.48,28.13,14.46,18.789412,23.380808,Zacks Small-Cap Core Fund Institutional Class,-0.48,-2.28,18.79,23.38,Zacks Small-Cap Core Fund Institutional Class,Zacks Funds,124.49,11.18,0.0,4,2014-02-27,Blend,Small,1.14,15.65,2.31,4.0,-2.38,11.18,-2.63,11.55,7.24,0.0,-11.95,0.0,98.91,0.0,1.09,0.0,0.0,3.82,5.2,16.0,5.8,3.43,9.52,3.31,1.42,0.0,35.59,15.91,3.0,-2.51,1.11,59.16,15.5,0.7,9.22
27,CSVIX,Calvert Small-Cap Fund Class I,24.8,-1.16,-0.29,29.09,18.54,22.91853,25.585442,Calvert Small-Cap Fund Class I,-0.29,-1.16,22.92,25.59,Calvert Small-Cap Fund Class I,Calvert Research and Management,477.6,14.75,0.22,5,2005-04-28,Growth,Medium,0.96,20.93,2.4,4.0,-1.22,14.75,6.62,13.21,9.19,15.5,-6.54,0.97,98.67,0.07,0.29,0.0,0.0,4.54,9.81,16.81,8.37,5.11,12.91,4.52,0.0,1.4,16.3,20.22,2.0,-1.69,1.15,74.42,14.37,0.85,10.32
28,NLCDX,Nuveen Large Cap Core Fund Class C,29.3,-0.75,-0.21999899999999997,33.17,20.89,27.329411999999998,29.418089000000002,Nuveen Large Cap Core Fund Class C,-0.22,-0.75,27.33,29.42,Nuveen Large Cap Core Fund Class C,Nuveen,981.96,8.87,0.0,2,2013-06-16,Blend,Large,1.73,12.13,1.81,2.0,-1.09,8.87,-0.09,9.73,7.83,0.0,-7.43,0.0,99.71,0.0,0.29,0.0,0.0,5.74,17.96,9.29,2.31,5.56,12.43,0.0,4.55,5.4,14.86,21.9,5.0,-4.67,1.13,84.92,13.12,0.68,7.49
29,FARCX,Nuveen Real Estate Securities Fund Class I,17.24,0.76,0.13,23.26,13.01,16.444118,19.194044,Nuveen Real Estate Securities Fund Class I,0.13,0.76,16.44,19.19,Nuveen Real Estate Securities Fund Class I,Nuveen,3440.0,16.58,2.33,4,1995-06-29,Blend,Medium,1.04,42.31,2.36,3.0,3.54,16.58,18.41,5.85,8.84,18.06,-5.51,2.71,97.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.61,0.0,0.0,0.0,0.15,0.0,0.24,0.0,3.0,-1.21,0.69,27.3,13.27,0.4,6.62
30,LCIAX,SEI Institutional Investments Trust Large Cap Index Fund Class A,162.74,-0.23,-0.37,199.7,119.38,153.16705,166.50537,SEI Institutional Investments Trust Large Cap Index Fund Class A,-0.37,-0.23,153.17,166.51,SEI Institutional Investments Trust Large Cap Index Fund Class A,SEI,1690.0,14.0,2.06,5,2002-03-31,Blend,Large,0.03,17.13,2.86,4.0,1.73,14.0,9.28,13.48,10.61,16.02,-4.8,2.97,97.03,0.0,0.0,0.0,0.0,2.67,12.12,13.67,3.47,7.25,14.07,3.16,3.37,5.21,12.05,22.97,3.0,-0.15,1.01,99.78,10.87,1.1,12.05
31,BVEFX,Becker Value Equity Fund Retail Class,15.91,-0.69,-0.11,18.89,12.49,15.133823000000001,16.847721,Becker Value Equity Fund Retail Class,-0.11,-0.69,15.13,16.85,Becker Value Equity Fund Retail Class,Becker,343.64,9.95,2.01,2,2003-11-02,Value,Large,0.78,11.87,1.52,2.0,-0.93,9.95,-2.97,8.63,5.58,12.97,-13.56,3.35,96.65,0.0,0.0,0.0,0.0,3.06,12.78,26.32,2.13,9.35,14.35,0.0,2.63,8.85,6.26,14.28,4.0,-4.59,1.02,84.08,11.96,0.64,7.16
32,BALGX,BMO Large-Cap Growth Fund Class A,18.6,0.0,0.0,19.72,13.55,17.426176,17.8375,BMO Large-Cap Growth Fund Class A,0.0,0.0,17.43,17.84,BMO Large-Cap Growth Fund Class A,BMO Funds,405.39,14.09,0.42,3,2014-05-26,Growth,Large,0.79,18.31,4.95,3.0,1.34,14.09,11.43,15.95,13.47,16.46,-1.25,2.9,97.1,0.0,0.0,0.0,0.0,2.1,16.12,15.51,3.11,5.42,12.58,0.0,1.95,2.21,8.35,32.64,3.0,1.42,1.07,90.83,12.09,1.18,13.66
33,JCMAX,JPMorgan Mid Cap Equity Fund Class A,46.0,-0.73,-0.34,52.36,32.29,42.558234999999996,45.81625,JPMorgan Mid Cap Equity Fund Class A,-0.34,-0.73,42.56,45.82,JPMorgan Mid Cap Equity Fund Class A,JPMorgan,2750.0,17.97,0.24,3,2009-11-01,Growth,Medium,1.14,18.44,2.71,3.0,0.92,17.97,7.05,11.79,8.66,15.92,-8.51,2.56,97.44,0.0,0.0,0.0,0.0,2.11,18.23,14.7,6.28,2.66,11.23,4.28,0.41,3.96,14.03,22.11,2.0,-2.54,1.1,89.92,12.45,0.86,9.55
34,BIPIX,ProFunds Biotechnology UltraSector Fund Investor Class,68.34,1.01,0.6800039999999999,69.18,44.57,64.63029499999999,60.800663,ProFunds Biotechnology UltraSector Fund Investor Class,0.68,1.01,64.63,60.8,ProFunds Biotechnology UltraSector Fund Investor Class,ProFunds,213.45,11.44,0.0,4,2000-06-18,Growth,Large,1.43,13.8,4.95,5.0,-1.6,11.44,1.5,9.35,8.45,21.43,-12.19,27.52,72.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,5.0,-12.92,2.09,55.69,30.07,0.4,3.86
35,SBYEX,BNY Mellon Diversified Emerging Markets Fund Class Y,20.75,0.0,0.0,25.28,16.65,20.00706,22.068604,BNY Mellon Diversified Emerging Markets Fund Class Y,0.0,0.0,20.01,22.07,Dreyfus Diversified Emerging Markets Fund Class Y,Dreyfus,222.62,10.92,1.17,3,2014-01-30,Blend,Large,1.31,11.78,1.45,3.0,1.79,10.92,-9.76,9.32,3.43,8.56,-19.15,1.19,98.8,0.0,0.01,0.0,0.0,7.02,14.76,19.81,1.71,9.98,2.61,2.19,3.74,6.6,5.8,25.78,3.0,0.89,1.08,74.18,13.24,0.64,7.44
36,TCMSX,TCM Small Cap Growth Fund,33.88,-1.65,-0.57,38.05,23.1,30.734410999999998,33.224705,TCM Small Cap Growth Fund,-0.57,-1.65,30.73,33.22,TCM Small Cap Growth Fund,TCM Funds,424.92,19.02,0.0,4,2004-09-30,Growth,Small,0.94,16.97,3.07,4.0,-0.54,19.02,10.24,18.93,10.36,15.86,-5.72,4.4,95.6,0.0,0.0,0.0,0.0,0.8,9.12,7.09,0.0,3.12,19.82,0.0,0.0,2.33,28.71,29.02,3.0,2.3,1.26,71.06,16.06,1.08,14.0
37,SAOAX,Guggenheim Alpha Opportunity Fund Class A,16.87,-1.11,-0.190001,17.7,15.06,16.485294,16.705587,Guggenheim Alpha Opportunity Fund Class A,-0.19,-1.11,16.49,16.71,Guggenheim Alpha Opportunity Fund Class A,Guggenheim Investments,95.34,0.06,1.17,3,2003-07-06,Value,Medium,1.54,11.98,1.99,3.0,-0.93,0.06,-6.91,0.23,2.18,11.77,-11.25,3.32,86.38,0.0,10.31,0.0,0.0,4.48,8.75,3.9,5.67,11.59,17.04,7.1,2.07,6.25,19.61,13.52,4.0,-5.82,0.42,40.62,6.95,-0.12,-2.56
38,CBLAX,Columbia Balanced Fund Class A,43.01,-0.02,-0.009997,45.33,34.89,41.26882,42.23669,Columbia Balanced Fund Class A,-0.01,-0.02,41.27,42.24,Columbia Balanced Fund Class A,Columbia,6710.0,9.67,1.36,4,2002-10-31,Blend,Large,0.95,16.99,2.61,4.0,2.0,9.67,5.42,7.24,6.62,11.27,-5.92,5.67,56.29,37.98,0.0,0.0,0.0,3.86,11.3,17.2,0.08,7.48,13.64,1.01,6.99,5.35,8.44,24.65,3.0,-1.47,1.12,92.23,7.13,0.84,5.32
39,VSTCX,Vanguard Strategic Small-Cap Equity Fund Investor Shares,26.71,-2.13,-0.5799989999999999,34.0,18.36,24.18147,28.719706,Vanguard Strategic Small-Cap Equity Fund Investor Shares,-0.58,-2.13,24.18,28.72,Vanguard Strategic Small-Cap Equity Fund Investor Shares,Vanguard,1610.0,12.97,1.09,4,2006-04-23,Blend,Small,0.29,12.69,2.04,4.0,-2.48,12.97,-0.41,9.53,6.43,16.27,-11.92,1.72,98.28,0.0,0.0,0.0,0.0,7.32,15.22,17.26,8.53,2.86,12.77,3.65,0.65,3.84,13.6,14.3,3.0,-6.37,1.29,71.62,16.39,0.56,6.38
40,VPCCX,Vanguard PRIMECAP Core Fund Investor Shares,24.33,-0.65,-0.16,29.71,18.81,23.113823,25.7025,Vanguard PRIMECAP Core Fund Investor Shares,-0.16,-0.65,23.11,25.7,Vanguard PRIMECAP Core Fund Investor Shares,Vanguard,10660.0,10.85,1.16,5,2004-12-08,Blend,Large,0.46,12.42,2.72,5.0,-0.99,10.85,5.61,14.51,11.34,16.33,-4.9,2.4,97.6,0.0,0.0,0.0,0.0,1.24,10.36,11.58,0.01,0.61,26.12,0.0,0.78,0.52,19.6,29.19,4.0,-0.41,1.13,89.82,12.76,1.03,11.72
41,ARYCX,American Century Real Estate Fund C Class,23.83,0.25,0.06,32.12,18.05,22.833824,26.860073,American Century Real Estate Fund C Class,0.06,0.25,22.83,26.86,American Century Real Estate Fund C Class,American Century Investments,964.59,15.5,1.62,2,2007-09-27,Blend,Medium,2.15,43.08,2.33,2.0,3.64,15.5,16.93,4.16,7.22,16.92,-5.91,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.71,0.0,0.0,0.0,0.52,0.0,0.0,0.77,3.0,-2.69,0.67,27.45,12.88,0.28,4.28
42,AEMZX,Acadian Emerging Markets Portfolio Class I,16.89,0.0,0.0,21.31,13.97,16.454705999999998,18.478382,Acadian Emerging Markets Portfolio Class I,0.0,0.0,16.45,18.48,Acadian Emerging Markets Portfolio Class I,Acadian Funds,1380.0,9.28,1.85,3,2016-10-30,Value,Large,1.2,6.95,1.02,3.0,-0.2,9.28,-12.63,9.94,3.1,9.14,-18.48,0.62,99.26,0.0,0.09,0.03,0.0,12.37,4.6,26.92,2.37,2.69,0.2,3.61,7.47,11.2,4.37,24.21,4.0,1.33,1.11,69.93,14.05,0.65,7.78
